epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1970.5,0.34716,0.25848,0.87203,0.99484,0.99281,0.99474,0.98441,0.20116,0.14267,0.79303,0.00829225,0.00829225,0.00829225
71,1998.57,0.34609,0.25978,0.87212,0.99339,0.99367,0.99474,0.98463,0.19916,0.14174,0.79205,0.0082675,0.0082675,0.0082675
72,2026.76,0.34428,0.25871,0.86908,0.99612,0.99276,0.99477,0.98485,0.19762,0.14136,0.79134,0.00824275,0.00824275,0.00824275
73,2054.81,0.34786,0.26194,0.87557,0.99593,0.99233,0.99475,0.9852,0.19531,0.14037,0.79103,0.008218,0.008218,0.008218
74,2082.9,0.34849,0.25911,0.87179,0.99422,0.99412,0.99482,0.98502,0.19493,0.1387,0.79086,0.00819325,0.00819325,0.00819325
75,2111.07,0.34637,0.25986,0.87284,0.99411,0.99381,0.9948,0.98532,0.19506,0.13855,0.79077,0.0081685,0.0081685,0.0081685
76,2139.17,0.34452,0.25584,0.87077,0.99444,0.99376,0.99478,0.98514,0.19455,0.13966,0.79105,0.00814375,0.00814375,0.00814375
77,2167.24,0.34721,0.25728,0.87126,0.99442,0.99443,0.99477,0.98505,0.19334,0.13847,0.7906,0.008119,0.008119,0.008119
78,2195.4,0.34574,0.25712,0.87114,0.99503,0.99453,0.99477,0.9852,0.19566,0.13872,0.79122,0.00809425,0.00809425,0.00809425
79,2223.49,0.34387,0.25298,0.86947,0.9954,0.99508,0.99478,0.9854,0.19489,0.13762,0.79127,0.0080695,0.0080695,0.0080695
80,2251.56,0.34052,0.25198,0.87103,0.99597,0.99446,0.99477,0.98527,0.19519,0.13658,0.79114,0.00804475,0.00804475,0.00804475
81,2279.72,0.34371,0.25342,0.86952,0.99519,0.99467,0.99475,0.98553,0.19417,0.13727,0.79082,0.00802,0.00802,0.00802
82,2307.77,0.34463,0.25603,0.87408,0.99565,0.99352,0.99477,0.98568,0.19422,0.13732,0.79075,0.00799525,0.00799525,0.00799525
83,2335.88,0.34135,0.2544,0.87106,0.99499,0.99396,0.99476,0.98532,0.19378,0.13748,0.7904,0.0079705,0.0079705,0.0079705
84,2364.06,0.34385,0.2547,0.87189,0.99531,0.99347,0.99478,0.98548,0.1932,0.13655,0.79033,0.00794575,0.00794575,0.00794575
85,2392.14,0.34072,0.25128,0.86844,0.99466,0.9938,0.99478,0.98593,0.1928,0.13565,0.78942,0.007921,0.007921,0.007921
86,2420.21,0.34189,0.25375,0.86767,0.99416,0.99369,0.99474,0.98588,0.1924,0.13545,0.78917,0.00789625,0.00789625,0.00789625
87,2448.38,0.33945,0.25115,0.87058,0.99361,0.99344,0.99469,0.98601,0.19233,0.1359,0.78885,0.0078715,0.0078715,0.0078715
88,2476.48,0.34067,0.25116,0.86947,0.99475,0.99356,0.99465,0.98587,0.19227,0.13494,0.78888,0.00784675,0.00784675,0.00784675
89,2504.57,0.34003,0.25278,0.86956,0.99457,0.99425,0.99467,0.98556,0.19211,0.13588,0.78885,0.007822,0.007822,0.007822
90,2532.74,0.33951,0.25072,0.86835,0.99574,0.99461,0.99474,0.98567,0.1913,0.13513,0.78875,0.00779725,0.00779725,0.00779725
91,2560.84,0.33867,0.25246,0.86928,0.99498,0.99463,0.99476,0.98571,0.1914,0.13426,0.78859,0.0077725,0.0077725,0.0077725
92,2588.93,0.34084,0.25211,0.8681,0.99538,0.99339,0.99476,0.98595,0.19107,0.13393,0.78833,0.00774775,0.00774775,0.00774775
93,2617.15,0.33894,0.25052,0.87037,0.99549,0.99339,0.99474,0.98602,0.19046,0.1338,0.78818,0.007723,0.007723,0.007723
94,2645.2,0.33727,0.24969,0.86437,0.99537,0.99401,0.99476,0.98599,0.18999,0.13349,0.78795,0.00769825,0.00769825,0.00769825
95,2673.28,0.33615,0.24976,0.86613,0.99523,0.99411,0.99477,0.98642,0.19012,0.13314,0.78811,0.0076735,0.0076735,0.0076735
96,2701.5,0.33506,0.24729,0.86438,0.99508,0.99409,0.99477,0.98621,0.18993,0.13392,0.78779,0.00764875,0.00764875,0.00764875
97,2729.59,0.33548,0.24812,0.86468,0.99486,0.99414,0.99477,0.98639,0.18986,0.13367,0.7877,0.007624,0.007624,0.007624
98,2757.66,0.33686,0.24661,0.86438,0.99468,0.99427,0.99476,0.98643,0.18958,0.13484,0.78741,0.00759925,0.00759925,0.00759925
99,2785.88,0.33536,0.24545,0.86422,0.99443,0.99381,0.9944,0.98607,0.18971,0.13721,0.78709,0.0075745,0.0075745,0.0075745
100,2813.96,0.33575,0.247,0.86536,0.99496,0.99412,0.99476,0.98613,0.19009,0.14198,0.78706,0.00754975,0.00754975,0.00754975
101,2842.05,0.33455,0.24586,0.86456,0.99368,0.99386,0.99468,0.98624,0.19035,0.14701,0.78698,0.007525,0.007525,0.007525
102,2870.24,0.33056,0.24136,0.86217,0.99332,0.99366,0.99466,0.98607,0.19005,0.14918,0.78655,0.00750025,0.00750025,0.00750025
103,2898.3,0.32974,0.242,0.86226,0.9942,0.99426,0.99469,0.98604,0.1901,0.14994,0.78588,0.0074755,0.0074755,0.0074755
104,2926.37,0.33267,0.24262,0.86391,0.99499,0.99452,0.99471,0.98615,0.18942,0.147,0.78475,0.00745075,0.00745075,0.00745075
105,2954.57,0.33277,0.24336,0.86281,0.99446,0.99504,0.99473,0.98657,0.18868,0.14477,0.78408,0.007426,0.007426,0.007426
106,2982.62,0.32942,0.24189,0.86261,0.99471,0.99471,0.99473,0.98634,0.18811,0.14222,0.78359,0.00740125,0.00740125,0.00740125
107,3010.69,0.32667,0.2401,0.85925,0.99519,0.9944,0.99471,0.98636,0.1878,0.13983,0.78355,0.0073765,0.0073765,0.0073765
108,3038.83,0.33026,0.24188,0.86307,0.99525,0.99426,0.99471,0.98645,0.18738,0.13753,0.78328,0.00735175,0.00735175,0.00735175
109,3066.89,0.33136,0.24148,0.86323,0.99481,0.99437,0.99472,0.98655,0.18754,0.13605,0.78297,0.007327,0.007327,0.007327
110,3094.97,0.32967,0.24263,0.8627,0.9948,0.99439,0.99472,0.98658,0.18754,0.13435,0.78289,0.00730225,0.00730225,0.00730225
111,3123.15,0.33143,0.24118,0.86428,0.99481,0.9943,0.99475,0.98663,0.18722,0.13332,0.78264,0.0072775,0.0072775,0.0072775
112,3151.24,0.33248,0.24195,0.86102,0.9945,0.99479,0.99478,0.98674,0.18689,0.13233,0.78272,0.00725275,0.00725275,0.00725275
113,3179.32,0.32713,0.24012,0.86146,0.994,0.99555,0.99477,0.98665,0.18663,0.1314,0.78258,0.007228,0.007228,0.007228
114,3207.47,0.33045,0.24216,0.8625,0.99399,0.9956,0.99478,0.98673,0.18675,0.13044,0.7825,0.00720325,0.00720325,0.00720325
115,3235.54,0.32925,0.23968,0.86065,0.9943,0.996,0.99479,0.98659,0.18655,0.12974,0.78246,0.0071785,0.0071785,0.0071785
116,3263.61,0.32819,0.24109,0.861,0.99431,0.99602,0.99479,0.98668,0.18654,0.12923,0.78277,0.00715375,0.00715375,0.00715375
117,3291.79,0.32733,0.23849,0.86141,0.99426,0.99601,0.99478,0.98654,0.1864,0.12911,0.78269,0.007129,0.007129,0.007129
118,3319.86,0.3274,0.23854,0.86139,0.99457,0.99558,0.99479,0.98666,0.18646,0.12874,0.78263,0.00710425,0.00710425,0.00710425
119,3347.93,0.32725,0.24081,0.85894,0.99464,0.99573,0.99479,0.98665,0.18619,0.12852,0.78255,0.0070795,0.0070795,0.0070795
120,3376.14,0.32447,0.23629,0.85975,0.99488,0.99593,0.99479,0.98659,0.18606,0.12815,0.7825,0.00705475,0.00705475,0.00705475
121,3404.24,0.32587,0.2367,0.86281,0.99441,0.99601,0.99478,0.98647,0.18566,0.12793,0.78248,0.00703,0.00703,0.00703
122,3432.32,0.32527,0.2362,0.85951,0.99438,0.996,0.99479,0.98657,0.18543,0.12798,0.78234,0.00700525,0.00700525,0.00700525
123,3460.52,0.32407,0.23647,0.85969,0.99459,0.99575,0.99479,0.98658,0.18506,0.12758,0.78227,0.0069805,0.0069805,0.0069805
124,3488.59,0.32491,0.23776,0.86027,0.99456,0.99574,0.9948,0.98662,0.18501,0.12777,0.78217,0.00695575,0.00695575,0.00695575
125,3516.67,0.32487,0.2366,0.86041,0.99455,0.99573,0.9948,0.98672,0.18485,0.1274,0.782,0.006931,0.006931,0.006931
126,3544.89,0.32252,0.23464,0.85786,0.99456,0.99572,0.9948,0.98661,0.18458,0.12706,0.7819,0.00690625,0.00690625,0.00690625
127,3572.93,0.32495,0.23636,0.85902,0.99458,0.99568,0.9948,0.98659,0.18446,0.12717,0.78181,0.0068815,0.0068815,0.0068815
128,3601.02,0.32673,0.23695,0.8596,0.99403,0.9955,0.9948,0.98668,0.18435,0.12765,0.78163,0.00685675,0.00685675,0.00685675
129,3629.25,0.3242,0.23446,0.86086,0.99457,0.99504,0.99479,0.98661,0.18412,0.12715,0.78146,0.006832,0.006832,0.006832
130,3657.37,0.32345,0.23425,0.85941,0.99414,0.99537,0.9948,0.98659,0.18382,0.12701,0.78128,0.00680725,0.00680725,0.00680725
131,3685.44,0.32307,0.23329,0.85907,0.99422,0.99527,0.9948,0.98674,0.18382,0.12684,0.78128,0.0067825,0.0067825,0.0067825
132,3713.63,0.32455,0.23398,0.85936,0.99464,0.9951,0.99481,0.98678,0.18376,0.12666,0.78135,0.00675775,0.00675775,0.00675775
133,3741.71,0.32225,0.23247,0.85901,0.99469,0.99511,0.99482,0.98669,0.1837,0.12642,0.78141,0.006733,0.006733,0.006733
134,3769.77,0.3234,0.23384,0.85655,0.99476,0.99513,0.99482,0.98681,0.18371,0.12648,0.78148,0.00670825,0.00670825,0.00670825
135,3797.95,0.32332,0.23514,0.85752,0.99477,0.9951,0.99482,0.9869,0.18349,0.12687,0.78128,0.0066835,0.0066835,0.0066835
136,3826.01,0.32227,0.23295,0.85854,0.99481,0.99509,0.99481,0.98681,0.18331,0.12668,0.78123,0.00665875,0.00665875,0.00665875
137,3854.09,0.32219,0.23265,0.85871,0.99489,0.99504,0.99482,0.98688,0.18328,0.12659,0.78123,0.006634,0.006634,0.006634
138,3882.25,0.32263,0.23213,0.85891,0.9949,0.99501,0.99482,0.98693,0.18325,0.1265,0.78129,0.00660925,0.00660925,0.00660925
139,3910.33,0.3205,0.23047,0.85914,0.99501,0.99457,0.9948,0.98691,0.18324,0.12638,0.78124,0.0065845,0.0065845,0.0065845
140,3938.4,0.31869,0.23124,0.85882,0.99541,0.99451,0.9948,0.98697,0.18303,0.12628,0.78115,0.00655975,0.00655975,0.00655975
141,3966.58,0.31337,0.2302,0.85763,0.99493,0.99453,0.9948,0.98707,0.18327,0.12614,0.78118,0.006535,0.006535,0.006535
142,3994.66,0.3082,0.2266,0.85583,0.99533,0.99484,0.99482,0.98709,0.18328,0.12628,0.78114,0.00651025,0.00651025,0.00651025
143,4022.73,0.30638,0.22811,0.85621,0.99522,0.99486,0.99482,0.98703,0.18329,0.12608,0.78116,0.0064855,0.0064855,0.0064855
144,4050.9,0.30646,0.2271,0.85589,0.99523,0.99485,0.99481,0.98692,0.18342,0.1258,0.78121,0.00646075,0.00646075,0.00646075
145,4078.96,0.3032,0.22488,0.85605,0.99543,0.99463,0.99481,0.98695,0.18362,0.12598,0.78113,0.006436,0.006436,0.006436
146,4107.03,0.30269,0.22549,0.8554,0.99559,0.99521,0.99482,0.98703,0.18386,0.12622,0.78122,0.00641125,0.00641125,0.00641125
147,4135.23,0.30181,0.22589,0.85331,0.99574,0.99507,0.99482,0.987,0.18407,0.12633,0.78134,0.0063865,0.0063865,0.0063865
148,4163.33,0.30276,0.22567,0.85504,0.99573,0.99514,0.99482,0.98703,0.1842,0.12637,0.78135,0.00636175,0.00636175,0.00636175
149,4191.37,0.30009,0.22429,0.85652,0.99576,0.99513,0.99481,0.98699,0.184,0.12634,0.78128,0.006337,0.006337,0.006337
150,4219.58,0.30043,0.22368,0.85338,0.99552,0.99565,0.99481,0.98695,0.18402,0.126,0.78122,0.00631225,0.00631225,0.00631225
151,4247.67,0.2987,0.22172,0.85583,0.99566,0.99536,0.99481,0.98706,0.18417,0.12609,0.78127,0.0062875,0.0062875,0.0062875
152,4275.73,0.30252,0.22347,0.85756,0.99556,0.99575,0.9948,0.98709,0.18433,0.12602,0.78127,0.00626275,0.00626275,0.00626275
153,4303.97,0.30255,0.22493,0.85683,0.99548,0.99477,0.99479,0.98711,0.18452,0.12599,0.78129,0.006238,0.006238,0.006238
154,4332.07,0.30016,0.22241,0.85648,0.99522,0.99505,0.99479,0.98718,0.18455,0.12593,0.78129,0.00621325,0.00621325,0.00621325
155,4386.95,0.29911,0.22461,0.85406,0.99538,0.99502,0.99479,0.98714,0.18467,0.12594,0.78132,0.0061885,0.0061885,0.0061885
156,4415.1,0.2968,0.22338,0.85539,0.99525,0.99425,0.99478,0.98713,0.18481,0.12615,0.78134,0.00616375,0.00616375,0.00616375
157,4443.16,0.29769,0.22245,0.85527,0.99517,0.99517,0.99479,0.98703,0.18493,0.12626,0.78132,0.006139,0.006139,0.006139
158,4471.22,0.29608,0.21937,0.85354,0.9955,0.99523,0.99479,0.98704,0.18509,0.12613,0.78136,0.00611425,0.00611425,0.00611425
159,4499.4,0.29203,0.21934,0.85275,0.99515,0.99562,0.99479,0.98696,0.18513,0.12605,0.78141,0.0060895,0.0060895,0.0060895
160,4527.49,0.29618,0.21978,0.85398,0.99492,0.99569,0.99481,0.98705,0.18508,0.12606,0.78128,0.00606475,0.00606475,0.00606475
161,4555.55,0.29296,0.21807,0.85377,0.99499,0.99579,0.99478,0.98704,0.18501,0.12596,0.78123,0.00604,0.00604,0.00604
162,4583.68,0.29167,0.2188,0.85433,0.99535,0.99563,0.99479,0.98705,0.18498,0.12577,0.78121,0.00601525,0.00601525,0.00601525
163,4611.73,0.29373,0.22061,0.85211,0.99539,0.99564,0.99479,0.98708,0.18521,0.12621,0.78127,0.0059905,0.0059905,0.0059905
