epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,3902.08,0.82979,1.21033,1.95888,0.99673,0.99058,0.99479,0.95786,0.46744,0.60225,1.60562,0.003664,0.003664,0.003664
130,3932.63,0.82858,1.21007,1.95941,0.99671,0.9906,0.99481,0.9578,0.46644,0.60266,1.6054,0.0036145,0.0036145,0.0036145
131,3965.11,0.83241,1.21891,1.95754,0.9967,0.9906,0.99481,0.95793,0.46502,0.60152,1.6049,0.003565,0.003565,0.003565
132,4000,0.8293,1.21993,1.95521,0.9962,0.99146,0.99482,0.95819,0.46445,0.601,1.60469,0.0035155,0.0035155,0.0035155
133,4034.7,0.82542,1.21602,1.95304,0.9958,0.99158,0.99482,0.95828,0.46333,0.59964,1.60437,0.003466,0.003466,0.003466
134,4069.15,0.81634,1.19111,1.95006,0.99578,0.9916,0.99482,0.95854,0.4632,0.59968,1.60444,0.0034165,0.0034165,0.0034165
135,4104.17,0.82139,1.20522,1.95548,0.9958,0.99149,0.99483,0.9585,0.46283,0.59929,1.60424,0.003367,0.003367,0.003367
136,4138.62,0.82252,1.20042,1.95727,0.99463,0.99249,0.99484,0.95836,0.46255,0.59829,1.60413,0.0033175,0.0033175,0.0033175
137,4173.45,0.80779,1.18273,1.94593,0.99459,0.99248,0.99483,0.95861,0.46146,0.59768,1.6039,0.003268,0.003268,0.003268
138,4208.44,0.81345,1.19089,1.94572,0.99455,0.99248,0.99484,0.95852,0.45992,0.59699,1.60351,0.0032185,0.0032185,0.0032185
139,4240.41,0.80856,1.18196,1.94645,0.99445,0.99254,0.99486,0.95875,0.45932,0.59653,1.60335,0.003169,0.003169,0.003169
140,4271.2,0.81657,1.19492,1.95375,0.9945,0.99251,0.99486,0.95932,0.45819,0.59483,1.60297,0.0031195,0.0031195,0.0031195
141,4301.24,0.80896,1.18953,1.95247,0.99447,0.99253,0.99485,0.95909,0.45819,0.59454,1.60292,0.00307,0.00307,0.00307
142,4331.28,0.80875,1.1851,1.95079,0.99448,0.99253,0.99485,0.95913,0.45822,0.59447,1.60292,0.0030205,0.0030205,0.0030205
143,4361.4,0.80442,1.18446,1.94813,0.99445,0.99259,0.99485,0.95919,0.45716,0.59382,1.60261,0.002971,0.002971,0.002971
144,4392.67,0.80472,1.17862,1.94499,0.99446,0.9929,0.99485,0.9593,0.45688,0.59305,1.60258,0.0029215,0.0029215,0.0029215
145,4422.57,0.81092,1.19943,1.95428,0.99445,0.99292,0.99485,0.9593,0.45629,0.59237,1.60247,0.002872,0.002872,0.002872
146,4452.34,0.80349,1.18365,1.94543,0.99421,0.9934,0.99485,0.95975,0.4554,0.59347,1.60221,0.0028225,0.0028225,0.0028225
147,4482.38,0.7972,1.16316,1.94262,0.99461,0.99333,0.99486,0.95998,0.45466,0.59207,1.60241,0.002773,0.002773,0.002773
148,4512.26,0.79732,1.17215,1.94184,0.99451,0.9935,0.99486,0.95994,0.45444,0.59147,1.60234,0.0027235,0.0027235,0.0027235
149,4542.2,0.80397,1.1802,1.94478,0.9945,0.99295,0.99486,0.96078,0.45427,0.59071,1.60224,0.002674,0.002674,0.002674
150,4572.19,0.7908,1.16216,1.93455,0.99452,0.99294,0.99486,0.96075,0.45457,0.59049,1.60199,0.0026245,0.0026245,0.0026245
151,4602.1,0.79245,1.15865,1.93712,0.99462,0.99263,0.99486,0.96093,0.45371,0.59008,1.60173,0.002575,0.002575,0.002575
152,4632.03,0.79475,1.17346,1.93901,0.99486,0.99304,0.99487,0.96103,0.45325,0.58944,1.60155,0.0025255,0.0025255,0.0025255
153,4662.12,0.79496,1.16498,1.94333,0.99491,0.99349,0.99487,0.96142,0.45299,0.58917,1.60139,0.002476,0.002476,0.002476
154,4692.19,0.78494,1.14708,1.93158,0.99501,0.99307,0.99487,0.96121,0.45289,0.58898,1.60137,0.0024265,0.0024265,0.0024265
155,4722.18,0.78626,1.14789,1.93079,0.99502,0.99309,0.99487,0.96122,0.45249,0.58781,1.60118,0.002377,0.002377,0.002377
156,4752.43,0.78341,1.14005,1.92707,0.99447,0.99348,0.99487,0.96106,0.45203,0.58694,1.60101,0.0023275,0.0023275,0.0023275
157,4782.4,0.77481,1.13054,1.92301,0.99458,0.99331,0.99487,0.96105,0.45159,0.58647,1.60092,0.002278,0.002278,0.002278
158,4812.3,0.78032,1.13715,1.92056,0.99479,0.99328,0.99487,0.96124,0.45143,0.58672,1.60083,0.0022285,0.0022285,0.0022285
159,4841.73,0.78047,1.14188,1.93069,0.99508,0.99338,0.99487,0.96099,0.45141,0.58604,1.60078,0.002179,0.002179,0.002179
160,4871.18,0.7694,1.12456,1.9229,0.99522,0.99316,0.99487,0.96154,0.45158,0.58575,1.60082,0.0021295,0.0021295,0.0021295
161,4900.51,0.7757,1.13534,1.92672,0.99441,0.99403,0.99487,0.96121,0.45157,0.58546,1.6008,0.00208,0.00208,0.00208
162,4930.55,0.7659,1.12464,1.918,0.99384,0.99402,0.99485,0.96152,0.45133,0.5857,1.60051,0.0020305,0.0020305,0.0020305
163,4960.47,0.76418,1.12008,1.91873,0.99446,0.99398,0.99486,0.9612,0.45132,0.58618,1.60054,0.001981,0.001981,0.001981
164,4990.39,0.76718,1.12015,1.91807,0.99417,0.99398,0.99485,0.96129,0.45075,0.58472,1.60036,0.0019315,0.0019315,0.0019315
165,5020.36,0.77005,1.12401,1.92362,0.99495,0.99427,0.99488,0.96091,0.45048,0.58463,1.60022,0.001882,0.001882,0.001882
166,5050.37,0.76967,1.12237,1.92413,0.99499,0.99425,0.99488,0.9614,0.4501,0.58402,1.60016,0.0018325,0.0018325,0.0018325
167,5080.25,0.76501,1.12399,1.92376,0.99504,0.99424,0.99488,0.96135,0.44992,0.58373,1.60005,0.001783,0.001783,0.001783
168,5110.23,0.75787,1.11758,1.91968,0.99505,0.99424,0.99488,0.9619,0.44958,0.58384,1.59986,0.0017335,0.0017335,0.0017335
169,5140.08,0.75588,1.10871,1.91271,0.99516,0.9941,0.99488,0.96172,0.44869,0.58306,1.59958,0.001684,0.001684,0.001684
170,5170.09,0.75807,1.11405,1.91997,0.99519,0.99406,0.99488,0.962,0.44792,0.58159,1.5995,0.0016345,0.0016345,0.0016345
171,5200.3,0.75181,1.1024,1.91182,0.99507,0.99422,0.99488,0.96251,0.44708,0.57999,1.59924,0.001585,0.001585,0.001585
172,5230.44,0.7463,1.09166,1.90621,0.99469,0.99388,0.99485,0.96192,0.44657,0.57985,1.59908,0.0015355,0.0015355,0.0015355
173,5260.34,0.75738,1.10353,1.91653,0.99468,0.9939,0.99485,0.96233,0.44649,0.57875,1.59902,0.001486,0.001486,0.001486
174,5290.42,0.75154,1.09985,1.90958,0.99472,0.99384,0.99485,0.9623,0.44673,0.57834,1.59906,0.0014365,0.0014365,0.0014365
175,5320.3,0.751,1.09647,1.91006,0.99488,0.99412,0.99485,0.96252,0.44643,0.57843,1.59891,0.001387,0.001387,0.001387
176,5350.26,0.74879,1.08621,1.91276,0.99488,0.99415,0.99485,0.9622,0.44595,0.57756,1.59871,0.0013375,0.0013375,0.0013375
177,5380.33,0.74714,1.08837,1.91032,0.99431,0.99394,0.99485,0.96226,0.44549,0.57682,1.59863,0.001288,0.001288,0.001288
178,5410.46,0.73901,1.07929,1.90444,0.9943,0.99414,0.99485,0.96231,0.4453,0.57687,1.59857,0.0012385,0.0012385,0.0012385
179,5440.34,0.74675,1.08817,1.90652,0.99426,0.99415,0.99485,0.96246,0.44528,0.57604,1.59836,0.001189,0.001189,0.001189
180,5470.54,0.73897,1.07974,1.90283,0.99424,0.99416,0.99485,0.96254,0.4446,0.57547,1.59805,0.0011395,0.0011395,0.0011395
